Year,Jan,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2016,0.38,0.34,0.14,0.6,0.65,0.25,1.44,1.92,2.02,0.3,0.11,0.75
2017,0.55,1.04,0.03,0.05,0.41,0.2,2.63,1.55,1.62,1.94,2.65,1.58
2018,0.26,1.12,2.12,0.19,0.37,0.63,1.89,1.75,0.38,0.77,0.64,0.68
2019,0.38,2.64,1.18,0.02,0.26,0.33,2.4,1.96,2.16,1.48,0.74,0.17
2020,0.33,0.66,1.14,1.34,0.32,0.88,0.86,0.35,1.22,0.85,0.89,1.15
2021,0,0.19,0,0,0.12,1.08,5.43,2.81,2.28,0.62,0.37,2.52
2022,0.42,0.68,0.29,0.19,0.62,0.49,2.46,1.83,1.46,1.42,1.15,1.23
