Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
755.2915896,0,0,0,0,0,0,0,0,,,756.2988661,0,-1
755.3048844,37,52,14,0,0,0,0,0,CHO,[M+Cl]-,720.3354831,0.309962039,-1
755.3133017,36,52,17,0,0,0,0,0,CHO,[M-H]-,756.3205781,-0.169110753,-1
755.329486,31,60,16,0,0,1,0,0,CHOS,[M+Cl]-,720.3600847,0.169224272,-1
755.3357613,0,0,0,0,0,0,0,0,,,756.3430378,0,-1
755.3415713,38,56,13,0,0,0,0,0,CHO,[M+Cl]-,720.3721701,-0.108506713,-1
755.3495957,37,56,16,0,0,0,0,0,CHO,[M-H]-,756.3568722,-0.048184093,-1
755.3860745,38,60,15,0,0,0,0,0,CHO,[M-H]-,756.3933509,-0.17145383,-1
755.422384,39,64,14,0,0,0,0,0,CHO,[M-H]-,756.4296605,-0.071029665,-1
755.4584315,0,0,0,0,0,0,0,0,,,756.4657079,0,-1
755.6298319,0,0,0,0,0,0,0,0,,,756.6371084,0,-1
755.8995736,0,0,0,0,0,0,0,0,,,756.90685,0,-1
756.0019204,0,0,0,0,0,0,0,0,,,757.0091969,0,-1
756.1266712,0,0,0,0,0,0,0,0,,,757.1339477,0,-1
756.1993416,33,40,17,0,1,0,0,0,CHO,[M+Cl]-,721.2299403,-0.049417341,-1
756.2075165,32,40,20,0,1,0,0,0,CHO,[M-H]-,757.214793,-0.190725559,-1
756.2371801,0,0,0,0,0,0,0,0,,,757.2444565,0,-1
756.2438754,33,44,19,0,1,0,0,0,CHO,[M-H]-,757.2511518,-0.155513249,-1
756.2529887,0,0,0,0,0,0,0,0,,,757.2602651,0,-1
756.272067,35,48,15,0,1,0,0,0,CHO,[M+Cl]-,721.3026657,0.013827759,-1
756.280485,34,48,18,0,1,0,0,0,CHO,[M-H]-,757.2877615,-0.451485716,-1
756.3166754,35,52,17,0,1,0,0,0,CHO,[M-H]-,757.3239518,-0.193770737,-1
756.3529752,36,56,16,0,1,0,0,0,CHO,[M-H]-,757.3602517,-0.080661324,-1
756.6282485,0,0,0,0,0,0,0,0,,,757.635525,0,-1
756.806925,0,0,0,0,0,0,0,0,,,757.8142014,0,-1
756.9950634,0,0,0,0,0,0,0,0,,,758.0023399,0,-1
757.0810334,33,27,19,0,0,0,1,0,CHOP,[M-H]-,758.0883099,0.138961785,-1
757.0907219,24,34,23,0,0,1,0,0,CHOS,[M+Cl]-,722.1213206,-0.225019167,-1
757.1118198,0,0,0,0,0,0,0,0,,,758.1190963,0,-1
757.1176384,35,30,17,0,0,0,0,0,CHO,[M+Cl]-,722.1482371,0.086403081,-1
757.1472782,0,0,0,0,0,0,0,0,,,758.1545547,0,-1
757.1540874,36,34,16,0,0,0,0,0,CHO,[M+Cl]-,722.1846861,-0.001449006,-1
757.1623338,35,34,19,0,0,0,0,0,CHO,[M-H]-,758.1696102,-0.23916193,-1
757.1930607,0,0,0,0,0,0,0,0,,,758.2003372,0,-1
757.1986706,36,38,18,0,0,0,0,0,CHO,[M-H]-,758.2059471,-0.174975876,-1
757.2116174,34,42,17,0,0,0,0,0,CHO,[M+Cl]-,722.2422161,-0.022411316,-1
757.2197967,33,42,20,0,0,0,0,0,CHO,[M-H]-,758.2270732,-0.170615578,-1
757.2350315,37,42,17,0,0,0,0,0,CHO,[M-H]-,758.2423079,-0.14244808,-1
757.2481554,35,46,16,0,0,0,0,0,CHO,[M+Cl]-,722.2787542,-0.233605874,-1
757.2561651,34,46,19,0,0,0,0,0,CHO,[M-H]-,758.2634416,-0.148111785,-1
757.2658922,0,0,0,0,0,0,0,0,,,758.2731687,0,-1
757.2713873,38,46,16,0,0,0,0,0,CHO,[M-H]-,758.2786638,-0.103329533,-1
757.2755476,33,47,18,1,1,0,0,0,CHON,[M-H]-,758.2828241,-0.205104754,-1
757.2843431,36,50,15,0,0,0,0,0,CHO,[M+Cl]-,722.3149418,0.040326984,-1
757.2925052,35,50,18,0,0,0,0,0,CHO,[M-H]-,758.2997817,-0.088158002,-1
757.2995986,0,0,0,0,0,0,0,0,,,758.306875,0,-1
757.3093331,0,0,0,0,0,0,0,0,,,758.3166095,0,-1
757.3209055,37,54,14,0,0,0,0,0,CHO,[M+Cl]-,722.3515043,-0.204628005,-1
757.3289008,36,54,17,0,0,0,0,0,CHO,[M-H]-,758.3361773,-0.101528269,-1
757.3441532,40,54,14,0,0,0,0,0,CHO,[M-H]-,758.3514297,-0.096574417,-1
757.3570255,38,58,13,0,0,0,0,0,CHO,[M+Cl]-,722.3876242,0.162992684,-1
757.3647973,0,0,0,0,0,0,0,0,,,758.3720738,0,-1
757.3831929,0,0,0,0,0,0,0,0,,,758.3904693,0,-1
757.4017265,38,62,15,0,0,0,0,0,CHO,[M-H]-,758.409003,-0.173623,-1
757.4379352,39,66,14,0,0,0,0,0,CHO,[M-H]-,758.4452116,0.059569391,-1
757.9986926,0,0,0,0,0,0,0,0,,,759.0059691,0,-1
758.1207949,34,30,17,0,1,0,0,0,CHO,[M+Cl]-,723.1513936,0.360572059,-1
758.1575473,35,34,16,0,1,0,0,0,CHO,[M+Cl]-,723.188146,-0.146702779,-1
758.2018625,35,38,18,0,1,0,0,0,CHO,[M-H]-,759.209139,0.039889616,-1
758.2150203,33,42,17,0,1,0,0,0,CHO,[M+Cl]-,723.245619,-0.088813265,-1
758.2229329,32,42,20,0,1,0,0,0,CHO,[M-H]-,759.2302093,0.117601825,-1
758.2384873,36,42,17,0,1,0,0,0,CHO,[M-H]-,759.2457637,-0.275217235,-1
758.2598457,0,0,0,0,0,0,0,0,,,759.2671222,0,-1
758.2692316,0,0,0,0,0,0,0,0,,,759.2765081,0,-1
758.2877675,35,50,15,0,1,0,0,0,CHO,[M+Cl]-,723.3183662,-0.05587951,-1
758.2962182,0,0,0,0,0,0,0,0,,,759.3034946,0,-1
758.3136566,0,0,0,0,0,0,0,0,,,759.3209331,0,-1
758.3323639,35,54,17,0,1,0,0,0,CHO,[M-H]-,759.3396404,-0.243948828,-1
758.3688471,0,0,0,0,0,0,0,0,,,759.3761235,0,-1
758.39738,0,0,0,0,0,0,0,0,,,759.4046565,0,-1
758.8567724,0,0,0,0,0,0,0,0,,,759.8640488,0,-1
758.992084,0,0,0,0,0,0,0,0,,,759.9993605,0,-1
759.1274414,0,0,0,0,0,0,0,0,,,760.1347179,0,-1
759.1332468,35,32,17,0,0,0,0,0,CHO,[M+Cl]-,724.1638455,0.143753494,-1
759.141399,34,32,20,0,0,0,0,0,CHO,[M-H]-,760.1486754,0.023708618,-1
759.1512976,0,0,0,0,0,0,0,0,,,760.158574,0,-1
759.1643216,0,0,0,0,0,0,0,0,,,760.1715981,0,-1
759.1697708,36,36,16,0,0,0,0,0,CHO,[M+Cl]-,724.2003696,-0.047557527,-1
759.1778956,35,36,19,0,0,0,0,0,CHO,[M-H]-,760.1851721,-0.122496766,-1
759.1853986,0,0,0,0,0,0,0,0,,,760.1926751,0,-1
759.1910289,33,40,18,0,0,0,0,0,CHO,[M+Cl]-,724.2216276,-0.225260658,-1
759.1941489,0,0,0,0,0,0,0,0,,,760.2014254,0,-1
759.206425,0,0,0,0,0,0,0,0,,,760.2137015,0,-1
759.2142139,36,40,18,0,0,0,0,0,CHO,[M-H]-,760.2214903,-0.034020057,-1
759.2270729,34,44,17,0,0,0,0,0,CHO,[M+Cl]-,724.2576716,0.246346607,-1
759.2354083,33,44,20,0,0,0,0,0,CHO,[M-H]-,760.2426848,-0.11964644,-1
759.242622,38,44,14,0,0,0,0,0,CHO,[M+Cl]-,724.2732207,-0.158263456,-1
759.250694,37,44,17,0,0,0,0,0,CHO,[M-H]-,760.2579705,-0.158505546,-1
759.2710904,0,0,0,0,0,0,0,0,,,760.2783669,0,-1
759.2870139,38,48,16,0,0,0,0,0,CHO,[M-H]-,760.2942903,-0.072140037,-1
759.300042,36,52,15,0,0,0,0,0,CHO,[M+Cl]-,724.3306407,-0.027150892,-1
759.3079922,35,52,18,0,0,0,0,0,CHO,[M-H]-,760.3152687,0.126466594,-1
759.3252771,0,0,0,0,0,0,0,0,,,760.3325536,0,-1
759.3364257,37,56,14,0,0,0,0,0,CHO,[M+Cl]-,724.3670244,-0.024723225,-1
759.3438373,0,0,0,0,0,0,0,0,,,760.3511138,0,-1
759.3599259,40,56,14,0,0,0,0,0,CHO,[M-H]-,760.3672023,-0.257549756,-1
759.372963,38,60,13,0,0,0,0,0,CHO,[M+Cl]-,724.4035617,-0.234193962,-1
759.3809531,37,60,16,0,0,0,0,0,CHO,[M-H]-,760.3882296,-0.123266214,-1
759.3991565,0,0,0,0,0,0,0,0,,,760.406433,0,-1
759.4164151,0,0,0,0,0,0,0,0,,,760.4236916,0,-1
759.4239489,53,60,2,0,0,1,0,0,CHOS,[M-H]-,760.4312253,0.232119561,-1
759.4324866,42,64,12,0,0,0,0,0,CHO,[M-H]-,760.439763,0.019044748,-1
759.4968265,44,73,8,0,0,0,1,0,CHOP,[M-H]-,760.5041029,0.266774989,-1
760.1366696,34,32,17,0,1,0,0,0,CHO,[M+Cl]-,725.1672683,0.049852636,-1
760.1551586,0,0,0,0,0,0,0,0,,,761.162435,0,-1
760.167064,0,0,0,0,0,0,0,0,,,761.1743405,0,-1
760.1731463,35,36,16,0,1,0,0,0,CHO,[M+Cl]-,725.203745,-0.075966058,-1
760.188807,0,0,0,0,0,0,0,0,,,761.1960835,0,-1
760.194261,32,40,18,0,1,0,0,0,CHO,[M+Cl]-,725.2248597,-0.055691083,-1
760.2093695,35,39,18,1,0,0,0,0,CHON,[M-H]-,761.2166459,0.088688566,-1
760.217596,35,40,18,0,1,0,0,0,CHO,[M-H]-,761.2248724,-0.069772433,-1
760.2540452,36,44,17,0,1,0,0,0,CHO,[M-H]-,761.2613217,-0.153501721,-1
760.2739655,0,0,0,0,0,0,0,0,,,761.281242,0,-1
760.2902724,37,48,16,0,1,0,0,0,CHO,[M-H]-,761.2975488,0.054515282,-1
760.3033383,35,52,15,0,1,0,0,0,CHO,[M+Cl]-,725.3339371,0.053470302,-1
760.3107698,0,0,0,0,0,0,0,0,,,761.3180463,0,-1
760.3289423,0,0,0,0,0,0,0,0,,,761.3362188,0,-1
760.3759992,36,59,16,1,0,0,0,0,CHON,[M-H]-,761.3832757,0.143348917,-1
760.4030932,0,0,0,0,0,0,0,0,,,761.4103697,0,-1
760.4194434,42,63,9,1,0,0,0,0,CHON,[M+Cl]-,725.4500421,0.331566705,-1
761.0294863,0,0,0,0,0,0,0,0,,,762.0367628,0,-1
761.0999012,0,0,0,0,0,0,0,0,,,762.1071777,0,-1
761.1320097,0,0,0,0,0,0,0,0,,,762.1392861,0,-1
761.1432934,0,0,0,0,0,0,0,0,,,762.1505698,0,-1
761.1573488,0,0,0,0,0,0,0,0,,,762.1646253,0,-1
761.167754,0,0,0,0,0,0,0,0,,,762.1750305,0,-1
761.1773245,0,0,0,0,0,0,0,0,,,762.184601,0,-1
761.1854505,36,38,16,0,0,0,0,0,CHO,[M+Cl]-,726.2160492,-0.088183897,-1
761.1932944,35,38,19,0,0,0,0,0,CHO,[M-H]-,762.2005709,0.207530647,-1
761.1976196,30,39,21,1,1,0,0,0,CHON,[M-H]-,762.2048961,-0.110068357,-1
761.2059082,0,0,0,0,0,0,0,0,,,762.2131846,0,-1
761.2217464,37,42,15,0,0,0,0,0,CHO,[M+Cl]-,726.2523451,0.035272548,-1
761.2299095,36,42,18,0,0,0,0,0,CHO,[M-H]-,762.237186,-0.093753287,-1
761.2429205,34,46,17,0,0,0,0,0,CHO,[M+Cl]-,726.2735192,-0.026409966,-1
761.252011,0,0,0,0,0,0,0,0,,,762.2592875,0,-1
761.258165,38,46,14,0,0,0,0,0,CHO,[M+Cl]-,726.2887637,-0.010361893,-1
761.2665791,0,0,0,0,0,0,0,0,,,762.2738556,0,-1
761.2795983,0,0,0,0,0,0,0,0,,,762.2868747,0,-1
761.2870083,0,0,0,0,0,0,0,0,,,762.2942847,0,-1
761.3026575,38,50,16,0,0,0,0,0,CHO,[M-H]-,762.309934,-0.063553367,-1
761.3158214,36,54,15,0,0,0,0,0,CHO,[M+Cl]-,726.3464201,-0.205226822,-1
761.3235012,35,54,18,0,0,0,0,0,CHO,[M-H]-,762.3307777,0.311222565,-1
761.3329189,46,50,10,0,0,0,0,0,CHO,[M-H]-,762.3401954,0.265580356,-1
761.3392027,39,54,15,0,0,0,0,0,CHO,[M-H]-,762.3464792,-0.272959463,-1
761.3520442,37,58,14,0,0,0,0,0,CHO,[M+Cl]-,726.3826429,0.018848821,-1
761.3603574,36,58,17,0,0,0,0,0,CHO,[M-H]-,762.3676338,-0.306134908,-1
761.3737042,0,0,0,0,0,0,0,0,,,762.3809807,0,-1
761.3764138,51,55,4,0,0,0,1,0,CHOP,[M-H]-,762.3836903,0.139643106,-1
761.3884295,38,62,13,0,0,0,0,0,CHO,[M+Cl]-,726.4190282,0.019064627,-1
761.3967266,37,62,16,0,0,0,0,0,CHO,[M-H]-,762.4040031,-0.284796403,-1
761.4128895,0,0,0,0,0,0,0,0,,,762.420166,0,-1
761.4480722,42,66,12,0,0,0,0,0,CHO,[M-H]-,762.4553487,0.103458204,-1
761.5791796,0,0,0,0,0,0,0,0,,,762.586456,0,-1
762.1370583,0,0,0,0,0,0,0,0,,,763.1443347,0,-1
762.1463665,0,0,0,0,0,0,0,0,,,763.1536429,0,-1
762.1503302,0,0,0,0,0,0,0,0,,,763.1576067,0,-1
762.1715792,0,0,0,0,0,0,0,0,,,763.1788557,0,-1
762.1845657,0,0,0,0,0,0,0,0,,,763.1918422,0,-1
762.1888401,35,38,16,0,1,0,0,0,CHO,[M+Cl]-,727.2194388,-0.135849716,-1
762.1957455,0,0,0,0,0,0,0,0,,,763.203022,0,-1
762.2098372,31,41,21,1,0,0,0,0,CHON,[M-H]-,763.2171136,-0.008183314,-1
