Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
797.3887621,0,0,0,0,0,0,0,0,,[M-H]-,798.3960385,0,-1
797.4033015,44,63,11,0,0,0,1,0,CHOP,[M-H]-,798.4105779,0.277364382,-1
797.440097,46,66,9,0,0,0,0,0,CHO,[M+Cl]-,762.4706957,-0.015771959,-1
797.476168,46,71,9,0,0,0,1,0,CHOP,[M-H]-,798.4834445,0.157689384,-1
797.483363,0,0,0,0,0,0,0,0,,[M-H]-,798.4906395,0,-1
797.4975094,44,74,10,0,0,0,0,0,CHO,[M+Cl]-,762.5281081,0.11867357,-1
797.506032,0,0,0,0,0,0,0,0,,[M-H]-,798.5133085,0,-1
797.512743,48,74,7,0,0,0,0,0,CHO,[M+Cl]-,762.5433417,0.148235375,-1
797.5339295,45,78,9,0,0,0,0,0,CHO,[M+Cl]-,762.5645282,0.073335138,-1
797.5423561,0,0,0,0,0,0,0,0,,[M-H]-,798.5496325,0,-1
797.5494976,49,78,6,0,0,0,0,0,CHO,[M+Cl]-,762.5800963,-0.335745761,-1
797.5576885,0,0,0,0,0,0,0,0,,[M-H]-,798.5649649,0,-1
797.570291,46,82,8,0,0,0,0,0,CHO,[M+Cl]-,762.6008898,0.104712146,-1
797.5785413,45,82,11,0,0,0,0,0,CHO,[M-H]-,798.5858178,-0.130645138,-1
797.5854539,50,82,5,0,0,0,0,0,CHO,[M+Cl]-,762.6160526,0.226978559,-1
797.5957315,0,0,0,0,0,0,0,0,,[M-H]-,798.603008,0,-1
797.6067539,47,86,7,0,0,0,0,0,CHO,[M+Cl]-,762.6373526,0.003257701,-1
797.6148718,46,86,10,0,0,0,0,0,CHO,[M-H]-,798.6221483,-0.061732041,-1
797.6298519,50,86,7,0,0,0,0,0,CHO,[M-H]-,798.6371284,0.283912693,-1
797.6427857,47,91,7,0,0,0,1,0,CHOP,[M-H]-,798.6500622,0.224907554,-1
797.6511685,47,90,9,0,0,0,0,0,CHO,[M-H]-,798.658445,0.049495726,-1
797.6793179,49,94,5,0,0,0,0,0,CHO,[M+Cl]-,762.7099166,0.274738704,-1
797.6876392,48,94,8,0,0,0,0,0,CHO,[M-H]-,798.6949156,-0.057141906,-1
797.6995759,0,0,0,0,0,0,0,0,,[M-H]-,798.7068523,0,-1
797.7159998,50,98,4,0,0,0,0,0,CHO,[M+Cl]-,762.7465986,-0.113960592,-1
797.7239256,49,98,7,0,0,0,0,0,CHO,[M-H]-,798.7312021,0.066845763,-1
797.7514766,0,0,0,0,0,0,0,0,,[M-H]-,798.7587531,0,-1
798.2426493,0,0,0,0,0,0,0,0,,[M-H]-,799.2499258,0,-1
798.3735924,0,0,0,0,0,0,0,0,,[M-H]-,799.3808689,0,-1
798.3860214,0,0,0,0,0,0,0,0,,[M-H]-,799.3932979,0,-1
798.3967344,0,0,0,0,0,0,0,0,,[M-H]-,799.4040109,0,-1
798.5161958,47,74,7,0,1,0,0,0,CHO,[M+Cl]-,763.5467945,0.019709916,-1
798.5528073,48,78,6,0,1,0,0,0,CHO,[M+Cl]-,763.583406,-0.276223419,-1
798.5603193,0,0,0,0,0,0,0,0,,[M-H]-,799.5675957,0,-1
798.5684923,0,0,0,0,0,0,0,0,,[M-H]-,799.5757687,0,-1
798.5737185,45,82,8,0,1,0,0,0,CHO,[M+Cl]-,763.6043172,0.009516778,-1
798.581832,44,82,11,0,1,0,0,0,CHO,[M-H]-,799.5891084,-0.05017324,-1
798.6021701,46,85,7,1,0,0,0,0,CHON,[M+Cl]-,763.6327688,-0.215643183,-1
798.6100625,46,86,7,0,1,0,0,0,CHO,[M+Cl]-,763.6406613,0.063770582,-1
798.6181615,45,86,10,0,1,0,0,0,CHO,[M-H]-,799.625438,0.019775221,-1
798.6383632,47,89,6,1,0,0,0,0,CHON,[M+Cl]-,763.6689619,0.036217856,-1
798.6465592,46,89,9,1,0,0,0,0,CHON,[M-H]-,799.6538357,-0.127838469,-1
798.6650902,0,0,0,0,0,0,0,0,,[M-H]-,799.6723667,0,-1
798.6748271,48,93,5,1,0,0,0,0,CHON,[M+Cl]-,763.7054258,-0.06640088,-1
798.6911602,47,94,8,0,1,0,0,0,CHO,[M-H]-,799.6984367,-0.264881738,-1
798.7112171,49,97,4,1,0,0,0,0,CHON,[M+Cl]-,763.7418158,-0.072249452,-1
798.7273772,48,98,7,0,1,0,0,0,CHO,[M-H]-,799.7346536,-0.054136512,-1
798.7480702,0,0,0,0,0,0,0,0,,[M-H]-,799.7553466,0,-1
799.38577,0,0,0,0,0,0,0,0,,[M-H]-,800.3930465,0,-1
799.3982497,0,0,0,0,0,0,0,0,,[M-H]-,800.4055262,0,-1
799.4063957,0,0,0,0,0,0,0,0,,[M-H]-,800.4136722,0,-1
799.4193687,45,64,10,0,0,0,0,0,CHO,[M+Cl]-,764.4499674,-0.025031847,-1
799.4555604,46,68,9,0,0,0,0,0,CHO,[M+Cl]-,764.4861591,0.22851301,-1
799.4920383,47,72,8,0,0,0,0,0,CHO,[M+Cl]-,764.522637,0.107682686,-1
799.5003121,46,72,11,0,0,0,0,0,CHO,[M-H]-,800.5075886,-0.156724407,-1
799.5141836,0,0,0,0,0,0,0,0,,[M-H]-,800.5214601,0,-1
799.5204078,0,0,0,0,0,0,0,0,,[M-H]-,800.5276843,0,-1
799.5285074,48,76,7,0,0,0,0,0,CHO,[M+Cl]-,764.5591061,-0.001757009,-1
799.5367491,47,76,10,0,0,0,0,0,CHO,[M-H]-,800.5440256,-0.221010065,-1
799.5496911,45,80,9,0,0,0,0,0,CHO,[M+Cl]-,764.5802898,-0.072793532,-1
799.5580535,0,0,0,0,0,0,0,0,,[M-H]-,800.56533,0,-1
799.5662769,0,0,0,0,0,0,0,0,,[M-H]-,800.5735534,0,-1
799.5731459,48,80,9,0,0,0,0,0,CHO,[M-H]-,800.5804224,-0.235076353,-1
799.5860035,46,84,8,0,0,0,0,0,CHO,[M+Cl]-,764.6166022,0.022853551,-1
799.5942175,45,84,11,0,0,0,0,0,CHO,[M-H]-,800.601494,-0.162890984,-1
799.6010009,49,85,6,0,0,0,1,0,CHOP,[M-H]-,800.6082773,0.124437127,-1
799.6092796,49,84,8,0,0,0,0,0,CHO,[M-H]-,800.616556,0.079480067,-1
799.622408,47,88,7,0,0,0,0,0,CHO,[M+Cl]-,764.6530067,-0.001955175,-1
