"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C35H50O12","lignin","unsaturated/lignin","unsaturated/lignin",0.1724,-0.7429,1.43,0.34,-1,11,-0.0286
"C32H54O12S1","protein","aliphatic","aliphatic",-0.04,-0.875,1.69,0.38,-7,6,-0.2188
"C32H54O14","protein","aliphatic","aliphatic",-0.04,-0.8125,1.69,0.44,-8,6,-0.25
"C33H58O13","protein","aliphatic","aliphatic",-0.0566,-0.9697,1.76,0.39,-8,5,-0.2424
"C38H58O7","lipid","aliphatic","aliphatic",0.1884,-1.1579,1.53,0.18,3,10,0.0789
"C43H62O3","unsaturated_hydrocarbon","unsaturated/lignin","unsaturated/lignin",0.2771,-1.3023,1.44,0.07,10,13,0.2326
"C36H70O10","lipid","aliphatic","aliphatic",-0.0968,-1.3889,1.94,0.28,-8,2,-0.2222
"C25H29O20N1","tannin","unsaturated/lignin","unsaturated/lignin",0.0714,0.56,1.16,0.8,-9,12,-0.36
"C30H32O17","lignin","unsaturated/lignin","unsaturated/lignin",0.3023,0.0667,1.07,0.57,-2,15,-0.0667
"C31H36O16","lignin","unsaturated/lignin","unsaturated/lignin",0.2609,-0.129,1.16,0.52,-2,14,-0.0645
"C28H40O18","lignin","unsaturated/lignin","unsaturated/lignin",0,-0.1429,1.43,0.64,-9,9,-0.3214
"C32H40O15","lignin","unsaturated/lignin","unsaturated/lignin",0.2245,-0.3125,1.25,0.47,-2,13,-0.0625
"C33H44O14","lignin","unsaturated/lignin","unsaturated/lignin",0.1923,-0.4848,1.33,0.42,-2,12,-0.0606
"C30H48O14S1","protein","aliphatic","aliphatic",-0.0455,-0.6,1.6,0.47,-8,7,-0.2667
"C30H48O16","protein","aliphatic","aliphatic",-0.0455,-0.5333,1.6,0.53,-9,7,-0.3
"C34H48O13","lignin","unsaturated/lignin","unsaturated/lignin",0.1636,-0.6471,1.41,0.38,-2,11,-0.0588
"C31H52O15","protein","aliphatic","aliphatic",-0.0638,-0.7097,1.68,0.48,-9,6,-0.2903
"C35H52O12","lignin","unsaturated/lignin","unsaturated/lignin",0.1379,-0.8,1.49,0.34,-2,10,-0.0571
"C36H56O11","protein","aliphatic","aliphatic",0.1148,-0.9444,1.56,0.31,-2,9,-0.0556
"C21H31O23N1","tannin","unsaturated/lignin","unsaturated/lignin",-0.6471,0.8571,1.48,1.1,-17,7,-0.8095
"C31H51O12N1","protein","aliphatic","aliphatic+N",0,-0.7742,1.65,0.39,-6,7,-0.1935
"C32H26O16","lignin","unsaturated/lignin","unsaturated/lignin",0.5,0.1875,0.81,0.5,4,20,0.125
"C33H30O15","lignin","unsaturated/lignin","unsaturated/lignin",0.451,0,0.91,0.45,4,19,0.1212
"C31H34O14","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.1935,1.1,0.45,1,15,0.0323
"C30H34O17","lignin","unsaturated/lignin","unsaturated/lignin",0.2558,0,1.13,0.57,-3,14,-0.1
"C31H38O16","lignin","unsaturated/lignin","unsaturated/lignin",0.2174,-0.1935,1.23,0.52,-3,13,-0.0968
"C32H42O15","lignin","unsaturated/lignin","unsaturated/lignin",0.1837,-0.375,1.31,0.47,-3,12,-0.0938
"C29H46O15S1","protein","aliphatic","aliphatic",-0.0732,-0.4828,1.59,0.52,-9,7,-0.3103
"C33H46O14","lignin","unsaturated/lignin","unsaturated/lignin",0.1538,-0.5455,1.39,0.42,-3,11,-0.0909
"C30H50O14S1","protein","aliphatic","aliphatic",-0.0909,-0.6667,1.67,0.47,-9,6,-0.3
"C34H50O13","lignin","unsaturated/lignin","unsaturated/lignin",0.1273,-0.7059,1.47,0.38,-3,10,-0.0882
"C31H54O15","protein","aliphatic","aliphatic",-0.1064,-0.7742,1.74,0.48,-10,5,-0.3226
"C35H54O12","protein","aliphatic","aliphatic",0.1034,-0.8571,1.54,0.34,-3,9,-0.0857
"C36H58O11","protein","aliphatic","aliphatic",0.082,-1,1.61,0.31,-3,8,-0.0833
"C34H66O10S1","lipid","aliphatic","aliphatic",-0.1429,-1.2941,1.94,0.29,-9,2,-0.2647
"C33H33O14N1","lignin","unsaturated/lignin","unsaturated/lignin",0.4,-0.0606,1,0.42,3,18,0.0909
"C30H49O13N1","protein","aliphatic","aliphatic+N",-0.0222,-0.6667,1.63,0.43,-7,7,-0.2333
"C31H53O12N1","protein","aliphatic","aliphatic+N",-0.0417,-0.8387,1.71,0.39,-7,6,-0.2258
"C31H57O14N1","protein","aliphatic","aliphatic+N",-0.1739,-0.8387,1.84,0.45,-11,4,-0.3548
"C32H24O14","condensed_hydrocarbon","aromatic","aromatic",0.56,0.125,0.75,0.44,7,21,0.2188
"C31H24O17","condensed_hydrocarbon","aromatic","aromatic",0.5111,0.3226,0.77,0.55,3,20,0.0968
"C28H28O19","tannin","unsaturated/lignin","unsaturated/lignin",0.2973,0.3571,1,0.68,-4,15,-0.1429
"C32H28O16","lignin","unsaturated/lignin","unsaturated/lignin",0.4583,0.125,0.88,0.5,3,19,0.0938
"C33H32O15","lignin","unsaturated/lignin","unsaturated/lignin",0.4118,-0.0606,0.97,0.45,3,18,0.0909
"C30H36O17","lignin","unsaturated/lignin","unsaturated/lignin",0.2093,-0.0667,1.2,0.57,-4,13,-0.1333
"C31H40O16","lignin","unsaturated/lignin","unsaturated/lignin",0.1739,-0.2581,1.29,0.52,-4,12,-0.129
"C35H40O13","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.4,1.14,0.37,3,16,0.0857
"C32H44O15","lignin","unsaturated/lignin","unsaturated/lignin",0.1429,-0.4375,1.38,0.47,-4,11,-0.125
"C29H48O15S1","protein","aliphatic","aliphatic",-0.122,-0.5517,1.66,0.52,-10,6,-0.3448
"C33H48O12S1","lignin","unsaturated/lignin","unsaturated/lignin",0.1154,-0.6667,1.45,0.36,-3,10,-0.0909
"C34H48O11","lignin","unsaturated/lignin","unsaturated/lignin",0.193,-0.7647,1.41,0.32,0,11,0
"C33H48O14","lignin","unsaturated/lignin","unsaturated/lignin",0.1154,-0.6061,1.45,0.42,-4,10,-0.1212
"C34H52O13","protein","aliphatic","aliphatic",0.0909,-0.7647,1.53,0.38,-4,9,-0.1176
"C35H56O10S1","lipid","aliphatic","aliphatic",0.069,-0.9714,1.6,0.29,-3,8,-0.0857
"C36H56O9","lipid","aliphatic","aliphatic",0.1429,-1.0556,1.56,0.25,0,9,0
"C35H56O12","protein","aliphatic","aliphatic",0.069,-0.9143,1.6,0.34,-4,8,-0.1143
"C36H60O9S1","lipid","aliphatic","aliphatic",0.0492,-1.1111,1.67,0.25,-3,7,-0.0833
"C36H60O11","protein","aliphatic","aliphatic",0.0492,-1.0556,1.67,0.31,-4,7,-0.1111
"C37H64O8S1","lipid","aliphatic","aliphatic",0.0312,-1.2432,1.73,0.22,-3,6,-0.0811
"C29H35O17N1","lignin","unsaturated/lignin","unsaturated/lignin",0.1795,0.069,1.21,0.59,-5,13,-0.1724
"C31H43O15N1","lignin","unsaturated/lignin","unsaturated/lignin",0.1111,-0.3226,1.39,0.48,-5,11,-0.1613
"C29H52O14N1P1","protein","aliphatic","aliphatic+N",-0.2,-0.7241,1.79,0.48,-11,5,-0.3793
"C30H22O18","condensed_hydrocarbon","aromatic","aromatic",0.5238,0.4667,0.73,0.6,2,20,0.0667
"C31H26O17","lignin","unsaturated/lignin","unsaturated/lignin",0.4667,0.2581,0.84,0.55,2,19,0.0645
"C28H30O19","tannin","unsaturated/lignin","unsaturated/lignin",0.2432,0.2857,1.07,0.68,-5,14,-0.1786
"C32H30O16","lignin","unsaturated/lignin","unsaturated/lignin",0.4167,0.0625,0.94,0.5,2,18,0.0625
"C29H34O18","lignin","unsaturated/lignin","unsaturated/lignin",0.2,0.069,1.17,0.62,-5,13,-0.1724
"C33H34O15","lignin","unsaturated/lignin","unsaturated/lignin",0.3725,-0.1212,1.03,0.45,2,17,0.0606
"C20H42O22","other","aliphatic","carbohydrate",-1.2222,0.1,2.1,1.1,-22,0,-1.1
"C30H39O15P1","lignin","unsaturated/lignin","unsaturated/lignin",0.1628,-0.3,1.3,0.5,-4,12,-0.1333
"C30H38O17","lignin","unsaturated/lignin","unsaturated/lignin",0.1628,-0.1333,1.27,0.57,-5,12,-0.1667
"C34H38O14","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2941,1.12,0.41,2,16,0.0588
"C31H42O16","lignin","unsaturated/lignin","unsaturated/lignin",0.1304,-0.3226,1.35,0.52,-5,11,-0.1613
"C35H42O13","lignin","unsaturated/lignin","unsaturated/lignin",0.2982,-0.4571,1.2,0.37,2,15,0.0571
"C32H46O13S1","lignin","unsaturated/lignin","unsaturated/lignin",0.102,-0.5625,1.44,0.41,-4,10,-0.125
"C32H46O15","lignin","unsaturated/lignin","unsaturated/lignin",0.102,-0.5,1.44,0.47,-5,10,-0.1562
"C33H50O12S1","protein","aliphatic","aliphatic",0.0769,-0.7273,1.52,0.36,-4,9,-0.1212
