"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C20H30O8","protein","aliphatic","aliphatic",0.125,-0.7,1.5,0.4,-2,6,-0.1
"C24H30O5","lignin","unsaturated/lignin","unsaturated/lignin",0.3488,-0.8333,1.25,0.21,5,10,0.2083
"C22H34O4","lipid","aliphatic","aliphatic",0.2,-1.1818,1.55,0.18,2,6,0.0909
"C21H34O7","protein","aliphatic","aliphatic",0.0857,-0.9524,1.62,0.33,-2,5,-0.0952
"C18H38O7S1","protein","aliphatic","lipid",-0.3333,-1.2222,2.11,0.39,-8,0,-0.4444
"C23H38O3","lipid","aliphatic","aliphatic",0.1628,-1.3913,1.65,0.13,2,5,0.087
"C22H38O6","lipid","aliphatic","aliphatic",0.0526,-1.1818,1.73,0.27,-2,4,-0.0909
"C20H42O5","lipid","aliphatic","lipid",-0.1429,-1.6,2.1,0.25,-5,0,-0.25
"C24H42O2","lipid","aliphatic","aliphatic",0.1304,-1.5833,1.75,0.08,2,4,0.0833
"C23H42O5","lipid","aliphatic","aliphatic",0.0244,-1.3913,1.83,0.22,-2,3,-0.087
"C24H46O4","lipid","aliphatic","aliphatic",0,-1.5833,1.92,0.17,-2,2,-0.0833
"C25H50O3","lipid","aliphatic","lipid",-0.0213,-1.76,2,0.12,-2,1,-0.08
"C15H25O9N1","amino_sugar","aliphatic","aliphatic+N",-0.1579,-0.2667,1.67,0.6,-6,4,-0.4
"C24H33O4N1","lignin","unsaturated/lignin","unsaturated/lignin",0.2857,-0.9167,1.38,0.17,4,9,0.1667
"C20H16O9","lignin","aromatic","aromatic",0.5484,0.1,0.8,0.45,4,13,0.2
"C16H28O9","amino_sugar","aliphatic","aliphatic",-0.1304,-0.625,1.75,0.56,-6,3,-0.375
"C24H28O3","lignin","unsaturated/lignin","unsaturated/lignin",0.4222,-0.9167,1.17,0.12,8,11,0.3333
"C17H32O8","protein","aliphatic","aliphatic",-0.1538,-0.9412,1.88,0.47,-6,2,-0.3529
"C23H28O6","lignin","unsaturated/lignin","unsaturated/lignin",0.35,-0.6957,1.22,0.26,4,10,0.1739
"C21H32O5","lipid","aliphatic","aliphatic",0.1892,-1.0476,1.52,0.24,1,6,0.0476
"C20H32O8","protein","aliphatic","aliphatic",0.0625,-0.8,1.6,0.4,-3,5,-0.15
"C18H36O7","protein","aliphatic","lipid",-0.1724,-1.2222,2,0.39,-6,1,-0.3333
"C24H32O5","lignin","unsaturated/lignin","unsaturated/lignin",0.3023,-0.9167,1.33,0.21,4,9,0.1667
"C21H36O7","protein","aliphatic","aliphatic",0.0286,-1.0476,1.71,0.33,-3,4,-0.1429
"C19H40O6","protein","aliphatic","lipid",-0.1875,-1.4737,2.11,0.32,-6,0,-0.3158
"C23H40O3","lipid","aliphatic","aliphatic",0.1163,-1.4783,1.74,0.13,1,4,0.0435
"C22H40O6","lipid","aliphatic","aliphatic",0,-1.2727,1.82,0.27,-3,3,-0.1364
"C24H44O2","lipid","aliphatic","aliphatic",0.087,-1.6667,1.83,0.08,1,3,0.0417
"C23H44O5","lipid","aliphatic","aliphatic",-0.0244,-1.4783,1.91,0.22,-3,2,-0.1304
"C24H48O4","lipid","aliphatic","lipid",-0.0455,-1.6667,2,0.17,-3,1,-0.125
"C15H27O9N1","amino_sugar","aliphatic","aliphatic+N",-0.2632,-0.4,1.8,0.6,-7,3,-0.4667
"C20H31O5N1","lipid","aliphatic","aliphatic+N",0.1515,-0.9,1.55,0.25,0,6,0
"C22H39O3N1","lipid","aliphatic","aliphatic+N",0.0769,-1.3636,1.77,0.14,0,4,0
"C24H47O1N1","lipid","aliphatic","aliphatic+N",0.0222,-1.75,1.96,0.04,0,2,0
"C24H14O2S1","condensed_hydrocarbon","condensed aromatic","condensed aromatic",0.7273,-0.3333,0.58,0.08,15,18,0.625
"C24H18O6","condensed_hydrocarbon","aromatic","aromatic",0.619,-0.25,0.75,0.25,10,16,0.4167
"C23H26O4","lignin","unsaturated/lignin","unsaturated/lignin",0.4286,-0.7826,1.13,0.17,7,11,0.3043
"C22H26O7","lignin","unsaturated/lignin","unsaturated/lignin",0.3514,-0.5455,1.18,0.32,3,10,0.1364
"C24H30O3","lignin","unsaturated/lignin","unsaturated/lignin",0.3778,-1,1.25,0.12,7,10,0.2917
"C23H30O6","lignin","unsaturated/lignin","unsaturated/lignin",0.3,-0.7826,1.3,0.26,3,9,0.1304
"C20H34O8","protein","aliphatic","aliphatic",0,-0.9,1.7,0.4,-4,4,-0.2
"C18H38O7","protein","aliphatic","lipid",-0.2414,-1.3333,2.11,0.39,-7,0,-0.3889
"C24H34O5","lignin","unsaturated/lignin","unsaturated/lignin",0.2558,-1,1.42,0.21,3,8,0.125
"C22H38O4","lipid","aliphatic","aliphatic",0.1,-1.3636,1.73,0.18,0,4,0
"C21H38O7","protein","aliphatic","aliphatic",-0.0286,-1.1429,1.81,0.33,-4,3,-0.1905
"C22H42O6","lipid","aliphatic","aliphatic",-0.0526,-1.3636,1.91,0.27,-4,2,-0.1818
"C23H46O5","lipid","aliphatic","lipid",-0.0732,-1.5652,2,0.22,-4,1,-0.1739
"C22H41O3N1","lipid","aliphatic","aliphatic+N",0.0256,-1.4545,1.86,0.14,-1,3,-0.0455
"C23H45O2N1","lipid","aliphatic","aliphatic+N",0,-1.6522,1.96,0.09,-1,2,-0.0435
"C24H49O1N1","lipid","aliphatic","lipid",-0.0222,-1.8333,2.04,0.04,-1,1,-0.0417
"C17H20O9","lignin","unsaturated/lignin","unsaturated/lignin",0.28,-0.1176,1.18,0.53,-1,8,-0.0588
"C21H20O6","lignin","unsaturated/lignin","unsaturated/lignin",0.5,-0.381,0.95,0.29,6,12,0.2857
"C25H20O3","unsaturated_hydrocarbon","aromatic","aromatic",0.617,-0.56,0.8,0.12,13,16,0.52
"C21H24O8","lignin","unsaturated/lignin","unsaturated/lignin",0.3529,-0.381,1.14,0.38,2,10,0.0952
